#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
32,Canada,"3,895,966",,"41,505 ",,"3,544,264",,"310,197",252,"101,503","1,081","62,220,040","1,621,038","38,382,850 ",North America,109251,,,"8,082"
33,Chile,"3,796,909",,"58,054 ",,"3,528,468",,"210,387",151,"195,376","2,987","39,220,648","2,018,156","19,433,903 ",South America,53350,,,"10,826"
34,Philippines,"3,692,617",,"60,461 ",,"3,629,459",,"2,697",468,"32,851",538,"30,387,628","270,341","112,404,874 ",Asia,"301,8594",,,24
35,Switzerland,"3,667,742",,"13,967 ",,"3,620,690","+1,960","33,085",44,"417,873","1,591","21,153,745","2,410,089","8,777,162 ",Europe,26280,,,"3,769"
36,Peru,"3,588,697",,"213,308 ",,"3,366,743",,"8,646",147,"105,983","6,299","30,949,572","914,015","33,861,102 ",South America,91591,,,255
37,Greece,"3,492,268",,"29,997 ",,"3,415,562",,"46,709",110,"338,250","2,905","83,459,301","8,083,603","10,324,518 ",Europe,33440,,,"4,524"
38,Denmark,"2,990,478",,"6,404 ",,"2,976,446",,"7,628",9,"512,798","1,098","127,515,122","21,865,891","5,831,691 ",Europe,29110,,,"1,308"
39,Romania,"2,912,266",,"65,706 ",,"2,841,885",,"4,675",53,"153,363","3,460","23,310,646","1,227,565","18,989,336 ",Europe,72891,,,246
40,Taiwan,"2,841,696","+79,663","4,008 ",+211,"1,316,560","+79,260","1,521,128",,"118,898",168,"19,459,964","814,217","23,900,226 ",Asia,"85,9631","3,333",9,"63,645"
41,Sweden,"2,510,930",,"19,016 ",,"2,485,451",,"6,463",6,"245,659","1,860","18,622,701","1,821,970","10,221,187 ",Europe,45381,,,632
42,Iraq,"2,329,525",,"25,221 ",,"2,302,974",,"1,330",9,"55,505",601,"18,636,288","444,041","41,969,725 ",Asia,"181,6642",,,32
43,Serbia,"2,019,978",,"16,098 ",,"1,998,990",,"4,890",10,"233,005","1,857","9,778,284","1,127,927","8,669,254 ",Europe,45391,,,564
44,Bangladesh,"1,953,935",,"29,131 ",,"1,905,065",,"19,739","1,328","11,640",174,"14,172,969","84,430","167,866,108 ",Asia,"865,76212",,,118
45,Hungary,"1,921,486",,"46,571 ",,"1,853,094",,"21,821",8,"199,887","4,845","11,394,556","1,185,344","9,612,871 ",Europe,52061,,,"2,270"
