S.N.,Traded Companies,No. Of Transaction,Max Price,Min Price,Closing Price,Traded Shares,Amount,Previous Closing,Difference Rs.
45,Global IME Bank Limited,209,271.30,262.00,265.00,20911.00,5553387.80,266.00,-1.00 ,                                             ,
46,Global IME Laghubitta Bittiya Sanstha Ltd.,28,1275.00,1250.00,1250.00,969.00,1221708.00,1250.00,0.00 ,                                            ,
47,Global IME Samunnat Scheme-1,3,10.40,10.39,10.40,700.00,7275.00,10.35,0.05 ,                                            ,
48,Goodwill Finance Limited,46,426.00,411.00,411.00,2543.00,1058147.40,423.00,-12.00 ,                                             ,
49,Grameen Bikas Laghubitta Bittiya Sanstha Ltd.,21,751.00,736.40,743.00,771.00,571736.30,751.00,-8.00 ,                                             ,
50,Green Development Bank Ltd.,19,245.00,235.00,240.00,1356.00,321664.00,246.00,-6.00 ,                                             ,
51,Green Ventures Limited,452,291.60,270.00,291.60,27782.00,7899947.10,265.10,26.50 ,                                            ,
52,GreenLife Hydropower Limited,67,363.00,350.00,359.00,3111.00,1100721.50,363.00,-4.00 ,                                             ,
53,Guheshowori Merchant Bank & Finance Co. Ltd.,29,280.00,272.00,276.90,2321.00,638455.00,272.50,4.40 ,                                            ,
54,Gurans Laghubitta Bittiya Sanstha Limited,7,1049.60,1028.70,1030.00,202.00,208476.40,1071.00,-41.00 ,                                             ,
55,Gurkhas Finance Ltd.,90,402.90,382.20,385.00,15505.00,6094030.60,395.00,-10.00 ,                                             ,
56,Himal Dolakha Hydropower Company Limited,124,221.30,213.70,217.20,21057.00,4545592.40,217.90,-0.70 ,                                             ,
57,Himalaya Urja Bikas Company Limited,30,265.00,254.00,258.00,3948.00,1016584.10,261.00,-3.00 ,                                             ,
58,Himalayan Bank Limited,119,318.00,311.00,316.50,10122.00,3182521.50,316.00,0.50 ,                                            ,
59,Himalayan Distillery Limited,207,3210.00,3158.00,3195.00,5632.00,17922054.70,3222.00,-27.00 ,                                             ,
60,Himalayan Power Partner Ltd.,51,370.00,351.70,369.00,5766.00,2076921.50,366.10,2.90 ,                                            ,
61,Hydorelectricity Investment and Development Company Ltd,262,225.00,216.20,218.00,45356.00,9897994.80,221.00,-3.00 ,                                             ,
62,ICFC Finance Limited,192,445.00,428.00,432.00,35202.00,15312091.80,439.00,-7.00 ,                                             ,
63,IME General Insurance Ltd.,158,408.00,397.00,404.00,13389.00,5358957.70,410.00,-6.00 ,                                             ,
64,Infinity Laghubitta Bittiya Sanstha Limited,40,938.00,901.00,925.00,1488.00,1367497.00,927.00,-2.00 ,                                             ,
65,Jalpa Samudayik Laghubitta Bittiya Sanstha Limited,139,2244.50,2201.10,2239.00,3346.00,7451936.00,2217.00,22.00 ,                                            ,
66,Janaki Finance Ltd.,45,382.00,375.30,375.40,2952.00,1113514.90,385.00,-9.60 ,                                             ,
67,Janautthan Samudayic Laghubitta Bikas Bank Ltd.,13,1920.00,1862.00,1920.00,177.00,331581.00,1926.00,-6.00 ,                                             ,
68,Jeevan Bikas Laghubitta  Bittya Sanstha Ltd,80,2860.00,2815.00,2850.00,1600.00,4541215.00,2860.30,-10.30 ,                                             ,
69,Joshi Hydropower Development Company Ltd,25,221.30,217.00,217.00,2100.00,458752.70,221.40,-4.40 ,                                             ,
70,Jyoti Bikas Bank Limited,186,313.90,303.00,305.00,25032.00,7665931.00,312.00,-7.00 ,                                             ,
71,Jyoti Life Insurance Company Limited,82,405.00,390.20,394.00,4378.00,1725493.00,405.00,-11.00 ,                                             ,
72,Kalika Laghubitta Bittiya Sanstha Ltd,16,1115.00,1084.00,1084.00,330.00,362359.40,1122.00,-38.00 ,                                             ,
73,Kalika power Company Ltd,17,400.00,382.10,392.00,1145.00,451641.00,403.00,-11.00 ,                                             ,
74,Kamana Sewa Bikas Bank Limited,122,361.00,352.20,357.10,18469.00,6598100.60,359.00,-1.90 ,                                             ,
75,Karnali Development Bank Limited,21,261.00,251.00,252.00,2107.00,533790.00,260.00,-8.00 ,                                             ,
76,Khanikhola Hydropower Co. Ltd.,53,227.60,211.10,216.00,4889.00,1055956.90,219.00,-3.00 ,                                             ,
77,Kisan Lagubitta Bittiya Sanstha Limited,8,906.00,865.00,888.00,713.00,631730.00,865.00,23.00 ,                                            ,
78,Kisan Lagubitta Bittiya Sanstha Limited Promoter Share,1,671.00,671.00,671.00,1770.00,1187670.00,671.00,0.00 ,                                            ,
79,Kumari Bank Limited,195,210.80,205.80,208.50,243523.00,50545168.80,209.00,-0.50 ,                                             ,
80,Kumari Equity Fund,11,8.90,8.76,8.90,2500.00,22092.00,8.89,0.01 ,                                            ,
81,Laxmi Bank Limited,42,216.00,212.00,215.00,5330.00,1135436.60,215.00,0.00 ,                                            ,
82,Laxmi Equity Fund,7,9.79,9.42,9.60,4945.00,47345.00,9.79,-0.19 ,                                             ,
83,Laxmi Laghubitta Bittiya Sanstha Ltd.,15,1230.00,1170.00,1230.00,453.00,546520.00,1187.00,43.00 ,                                            ,
84,Laxmi Unnati Kosh,5,9.58,9.50,9.50,6740.00,64231.40,9.75,-0.25 ,                                             ,
85,Liberty Energy Company Limited,47,268.00,251.90,265.00,3236.00,829344.90,260.00,5.00 ,                                            ,
86,Life Insurance Corporation (Nepal) Limited,126,1270.00,1225.00,1259.80,8287.00,10316648.90,1288.90,-29.10 ,                                             ,
87,Lumbini Bikas Bank Ltd.,124,370.00,350.00,355.00,17459.00,6242794.30,356.00,-1.00 ,                                             ,
